epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.6721,2.88224,3.97189,1.1792,1,0.01064,0.50532,0.50188,2.69502,3.78681,0.96814,0.00162731,0.000542437,0.00162731,0.000542437,0.00162731,0.000542437,0.00162731,0.000542437
2,183.42,2.64959,3.24267,1.02814,1,0.23841,0.6192,0.55339,2.44381,3.10162,0.95459,0.00313124,0.00104375,0.00313124,0.00104375,0.00313124,0.00104375,0.00313124,0.00104375
3,271.168,2.65125,2.04642,0.99056,1,0.68427,0.8421,0.6494,2.39636,1.82786,0.95432,0.00447014,0.00149005,0.00447014,0.00149005,0.00447014,0.00149005,0.00447014,0.00149005
4,367.719,2.63485,1.62337,0.96431,1,0.72435,0.86213,0.66065,2.26356,2.76872,0.94554,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,446.793,2.55275,1.45036,0.94585,1,0.74392,0.87191,0.66714,2.22326,1.54473,0.93073,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,524.735,2.48499,1.37989,0.93201,1,0.77907,0.88951,0.67718,2.16932,1.29602,0.91902,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,606.521,2.43131,1.32717,0.92113,1,0.79502,0.89745,0.68372,2.12422,1.23421,0.91034,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,687.77,2.3887,1.28555,0.91315,1,0.80072,0.90034,0.6886,2.07269,1.17266,0.90313,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,772.402,2.3683,1.25126,0.91079,1,0.7935,0.8967,0.68041,2.13665,1.18121,0.9031,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,854.311,2.33401,1.24532,0.91052,1,0.81573,0.9078,0.69308,2.06104,1.15687,0.89408,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,931.417,2.17735,1.3498,0.9147,1,0.8144,0.90713,0.69556,2.03566,1.17363,0.89031,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,1008.12,2.16182,1.26436,0.91425,1,0.82428,0.91207,0.69857,2.01013,1.17893,0.88396,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,1095.17,2.12532,1.24186,0.91525,1,0.8296,0.91479,0.69987,1.99658,1.13098,0.88143,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,1185.46,2.15175,1.22947,0.90116,1,0.83511,0.91748,0.70218,1.98871,1.1192,0.87947,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,1267.85,2.14539,1.22878,0.90477,1,0.83853,0.91922,0.70428,1.97604,1.12021,0.87684,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,1348.41,2.08705,1.19625,0.90212,1,0.8372,0.91854,0.70495,1.97779,1.10423,0.87849,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,1428.57,2.10614,1.18448,0.90018,1,0.83986,0.91992,0.70674,1.95907,1.09252,0.87715,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,1510.41,2.08484,1.17002,0.89922,1,0.84403,0.92194,0.70794,1.95383,1.0901,0.87681,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,1591.98,2.08985,1.17469,0.89734,1,0.84612,0.92299,0.70815,1.94475,1.0842,0.87553,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,1673.57,2.0745,1.17455,0.90228,1,0.8446,0.92222,0.70855,1.94034,1.08092,0.8758,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
